Fold,std_or_min,mean_or_max
0,"{'ga': 16.777152421553964, 'bpd': 5.686785468379827, 'hc': 1.8830179523938901, 'ac': 2.926273703359, 'fl': 0.5203904459799976, 'ute_ari': 0.04614103550518522, 'ute_api': 0.1464952519081416, 'm_age': 4.413491993873507, 'cpr': 0.22274547788395974, 'psv': 7.920461803137883, 'efw': 576.5558478033959, 'umb_api': 0.05821838247629998, 'm_height': 1.8708584376111852, 'm_weight': 5.031930808404975}","{'ga': 246.3093273081596, 'bpd': 85.65228201929153, 'hc': 31.14970978080737, 'ac': 30.294216162718545, 'fl': 6.551421476492716, 'ute_ari': 0.6159602063669213, 'ute_api': 0.9464719156906202, 'm_age': 30.03157866964158, 'cpr': 1.6922526755239113, 'psv': 50.904781741804214, 'efw': 2422.0954344102433, 'umb_api': 0.9071594967454569, 'm_height': 155.6259614457548, 'm_weight': 73.1605234957436}"
1,"{'ga': 16.6423758183145, 'bpd': 5.655573988654955, 'hc': 1.8784576793843004, 'ac': 2.895429720337374, 'fl': 0.5191991275159232, 'ute_ari': 0.04737974487079405, 'ute_api': 0.15173575941721704, 'm_age': 4.365238151412018, 'cpr': 0.22293994876369735, 'psv': 7.965425383283839, 'efw': 572.8016091511729, 'umb_api': 0.05749126999552289, 'm_height': 1.8249945413870858, 'm_weight': 5.086929032088302}","{'ga': 246.6043155826187, 'bpd': 85.70283889885705, 'hc': 31.160359208843516, 'ac': 30.33330493275402, 'fl': 6.558298337656725, 'ute_ari': 0.6161946303714038, 'ute_api': 0.9463713116667596, 'm_age': 30.014695473658563, 'cpr': 1.6957344599416262, 'psv': 51.01780270407237, 'efw': 2428.905512024609, 'umb_api': 0.9069089987047144, 'm_height': 155.62118645613077, 'm_weight': 73.14667509671779}"
2,"{'ga': 16.728366899112526, 'bpd': 5.731281615147945, 'hc': 1.8989831884847905, 'ac': 2.9131123169423017, 'fl': 0.5204537818842684, 'ute_ari': 0.0465007627521468, 'ute_api': 0.14867015209499013, 'm_age': 4.393209489587899, 'cpr': 0.22300489728070205, 'psv': 8.004369494127008, 'efw': 576.6437019301912, 'umb_api': 0.05670875556218714, 'm_height': 1.8797259677119422, 'm_weight': 5.049499068432697}","{'ga': 246.49853241865725, 'bpd': 85.6656058903955, 'hc': 31.146960997414673, 'ac': 30.341615655717504, 'fl': 6.554627126233111, 'ute_ari': 0.6155477849194742, 'ute_api': 0.944715115433935, 'm_age': 29.944000488232355, 'cpr': 1.6943060765392202, 'psv': 51.032141368544075, 'efw': 2428.7280780582414, 'umb_api': 0.9068528766503302, 'm_height': 155.61563961859042, 'm_weight': 73.16206828960026}"
3,"{'ga': 16.92825958766355, 'bpd': 5.755114788398282, 'hc': 1.9072169002943706, 'ac': 2.93971807830779, 'fl': 0.5304546080928533, 'ute_ari': 0.0469461191671253, 'ute_api': 0.1505230858075311, 'm_age': 4.426678253482276, 'cpr': 0.224834940007166, 'psv': 7.966215761141838, 'efw': 581.3212572017804, 'umb_api': 0.05965648975544004, 'm_height': 1.8281847907635937, 'm_weight': 4.896529448770893}","{'ga': 246.30394279972526, 'bpd': 85.62170811352804, 'hc': 31.13848776968667, 'ac': 30.286470805471136, 'fl': 6.546438111595803, 'ute_ari': 0.616037232803832, 'ute_api': 0.9459370643670164, 'm_age': 29.998671878006235, 'cpr': 1.6948213077288172, 'psv': 50.92417792672125, 'efw': 2419.963167286753, 'umb_api': 0.9071683860266466, 'm_height': 155.64880292935712, 'm_weight': 73.15241134646877}"
